eta,sI,sF,r,gmean_inf,gmean_for,gmed_inf,gmed_for,gmean_tot,gmed_tot,gini_inf,gini_for,gini_tot,p11
0.64,3.15,5.3,0.00634563446044922,26.5734809635456,96.5718681276296,0.00312589413447781,0.623175965665236,51.7729003426159,0.214672389127325,0.672402277373073,0.371455963069698,0.57531244369617,0.891612155223146
0.64,3.26944444444444,5.3,0.00634544372558594,31.9580355211945,107.019844677498,0.0323047210300429,0.688828326180258,58.9802868174637,0.258440629470672,0.661811541946465,0.369826735922859,0.567843071569852,0.891612155223146
0.64,3.38888888888889,5.3,0.00634544372558594,37.6288579072545,117.673458823775,0.061483547925608,0.76177539341917,66.4449142372021,0.30220886981402,0.651657142673597,0.368192836478429,0.560646222693478,0.891612155223146
0.64,3.50833333333333,5.3,0.00634544372558594,43.5808355426414,128.528368211572,0.0906623748211731,0.834722460658083,74.1619473034564,0.345977110157368,0.641892476001099,0.366540037751048,0.553688976252037,0.891612155223146
0.64,3.62777777777778,5.3,0.00634544372558594,49.8090739738718,139.58026467177,0.127135908440629,0.907669527896996,82.1267026251152,0.397040057224607,0.632481681980694,0.364864343328979,0.546948194857368,0.891612155223146
0.64,3.74722222222222,5.3,0.00634544372558594,56.3087935098371,150.824934683442,0.163609442060086,0.980616595135908,90.3346043323348,0.448103004291846,0.6233959517149,0.363165988584174,0.540406344148246,0.891612155223146
0.64,3.86666666666667,5.3,0.00634544372558594,63.0749514243449,162.257780006221,0.200082975679542,1.06085836909871,98.7807697138202,0.506460658082976,0.614609992596409,0.361445182281819,0.534048004660875,0.891612155223146
0.64,3.98611111111111,5.3,0.00634544372558594,70.1001342746343,173.870790612996,0.24385121602289,1.14110014306152,107.457570556445,0.557523605150215,0.606095678263142,0.359693777022065,0.527853468108092,0.891612155223146
0.64,4.10555555555556,5.3,0.00634544372558594,77.3708542977593,185.647325363314,0.287619456366238,1.22134191702432,116.350383881359,0.615881258941345,0.597815670629304,0.357886029272051,0.521792062706573,0.891612155223146
0.64,4.225,5.3,0.00634544372558594,84.8646327800179,197.558241091915,0.338682403433476,1.30158369098712,125.434331772301,0.681533619456366,0.589723287195702,0.355977410317992,0.515821758821478,0.891612155223146
0.64,4.34444444444444,5.3,0.00634544372558594,92.5495032067069,209.561618931281,0.382450643776824,1.38182546494993,134.673864867554,0.739891273247496,0.581768618102629,0.35391254769919,0.509895376361307,0.891612155223146
0.64,4.46388888888889,5.3,0.00634544372558594,100.385769183574,221.605659579789,0.433513590844063,1.46206723891273,144.024929726211,0.805543633762518,0.573906435715232,0.351636761751474,0.503968968425159,0.891612155223146
0.64,4.58333333333333,5.3,0.00634544372558594,108.328991992277,233.633147649183,0.491871244635193,1.54960371959943,153.438488028763,0.871195994277539,0.56610212008344,0.349105820625111,0.498008421107487,0.891612155223146
0.64,4.70277777777778,5.3,0.00634544372558594,116.333200422433,245.586015175339,0.542934191702432,1.63714020028612,162.864213733479,0.936848354792561,0.558334231131707,0.346291467033743,0.491992682717087,0.891612155223146
0.64,4.82222222222222,5.3,0.00634544372558594,124.353671949166,257.409117311164,0.601291845493562,1.72467668097282,172.253632279486,1.00250071530758,0.550594137488281,0.343182747004078,0.485913888690984,0.891612155223146
0.64,4.94166666666667,5.3,0.00634544372558594,132.348995982148,269.052878331269,0.652354792560801,1.80491845493562,181.562393627832,1.0681530758226,0.542883812941434,0.339784354468708,0.479775444366761,0.891612155223146
0.64,5.06111111111111,5.3,0.00634544372558594,140.28238151061,280.474822354028,0.710712446351931,1.89245493562232,190.751660214241,1.13380543633763,0.535212887919531,0.336113398207167,0.473589172792591,0.891612155223146
0.64,5.18055555555556,5.3,0.00634544372558594,148.122307956119,291.6401805586,0.769070100143062,1.97999141630901,199.788742093012,1.20675250357654,0.527595723024477,0.332195706559987,0.467372346635165,0.891612155223146
0.64,5.3,5.3,0.00634544372558594,155.842670705808,302.521821674606,0.827427753934192,2.06752789699571,208.647165054575,1.27240486409156,0.5200489232496,0.328062372851034,0.461145079472467,0.891612155223146
