eta,sI,sF,r,Tc,Tl,Tr,G,rB,Gap,popI,popF,Y,Btarget
0.64,3.15,5.3,0.00634563446044922,0.0500765372285443,0.0540000000000001,0.03168,0.07,0.00239653722854444,-1.38777878078145e-17,0.639999999999999,0.360000000000001,0.5712,0.377667078600489
0.64,3.26944444444444,5.3,0.00634544372558594,0.0501079980181231,0.0540000000000002,0.0316799999999999,0.07,0.00242799801812334,0,0.639999999999999,0.360000000000001,0.571200000000001,0.382636443269243
0.64,3.38888888888889,5.3,0.00634544372558594,0.0501407509728765,0.0540000000000001,0.03168,0.07,0.0024607509728767,1.38777878078145e-17,0.639999999999999,0.360000000000001,0.571200000000001,0.387798092504473
0.64,3.50833333333333,5.3,0.00634544372558594,0.0501746608435989,0.0540000000000002,0.03168,0.07,0.00249466084359908,0,0.639999999999999,0.360000000000001,0.571200000000001,0.393142064051434
0.64,3.62777777777778,5.3,0.00634544372558594,0.0502096479530544,0.0540000000000001,0.0316799999999999,0.07,0.00252964795305456,0,0.639999999999999,0.360000000000001,0.571200000000001,0.398655801304262
0.64,3.74722222222222,5.3,0.00634544372558594,0.0502456580757105,0.0540000000000001,0.03168,0.07,0.00256565807571067,0,0.639999999999999,0.360000000000001,0.571200000000001,0.404330758677363
0.64,3.86666666666667,5.3,0.00634544372558594,0.0502826495985498,0.0540000000000001,0.03168,0.07,0.00260264959854996,0,0.639999999999999,0.360000000000001,0.5712,0.410160378234168
0.64,3.98611111111111,5.3,0.00634544372558594,0.0503205773892757,0.0540000000000001,0.0316799999999999,0.07,0.00264057738927594,0,0.639999999999998,0.360000000000001,0.5712,0.416137547422992
0.64,4.10555555555556,5.3,0.00634544372558594,0.0503593715610479,0.0540000000000001,0.03168,0.07,0.00267937156104806,0,0.639999999999999,0.360000000000001,0.571200000000001,0.422251252539576
0.64,4.225,5.3,0.00634544372558594,0.0503989218423928,0.0540000000000001,0.03168,0.07,0.00271892184239287,0,0.64,0.360000000000001,0.5712,0.428484115528391
0.64,4.34444444444444,5.3,0.00634544372558594,0.0504390748056376,0.0540000000000001,0.03168,0.07,0.00275907480563775,0,0.639999999999999,0.360000000000001,0.5712,0.434811957202091
0.64,4.46388888888889,5.3,0.00634544372558594,0.0504796424850604,0.0540000000000001,0.03168,0.07,0.00279964248506059,1.38777878078145e-17,0.639999999999999,0.360000000000001,0.5712,0.441205155404962
0.64,4.58333333333333,5.3,0.00634544372558594,0.0505204169445169,0.0540000000000001,0.0316799999999999,0.07,0.00284041694451709,0,0.639999999999999,0.360000000000001,0.571200000000001,0.447630940774722
0.64,4.70277777777778,5.3,0.00634544372558594,0.0505611857016135,0.0540000000000002,0.0316799999999999,0.07,0.00288118570161375,0,0.639999999999999,0.360000000000001,0.571200000000001,0.454055827490252
0.64,4.82222222222222,5.3,0.00634544372558594,0.0506017448340833,0.0540000000000001,0.0316799999999999,0.07,0.00292174483408349,0,0.639999999999999,0.360000000000001,0.5712,0.460447678749794
0.64,4.94166666666667,5.3,0.00634544372558594,0.050641908440681,0.0540000000000001,0.03168,0.07,0.00296190844068122,0,0.639999999999999,0.360000000000001,0.571200000000001,0.466777197745571
0.64,5.06111111111111,5.3,0.00634544372558594,0.0506815143707665,0.0540000000000001,0.03168,0.07,0.00300151437076662,0,0.639999999999999,0.360000000000001,0.571200000000001,0.473018830608172
0.64,5.18055555555556,5.3,0.00634544372558594,0.0507204267832977,0.0540000000000001,0.03168,0.07,0.00304042678329784,0,0.639999999999999,0.360000000000001,0.5712,0.479151169687047
0.64,5.3,5.3,0.00634544372558594,0.0507585363236117,0.0540000000000001,0.03168,0.07,0.00307853632361184,0,0.639999999999999,0.360000000000001,0.5712,0.485156981409928
