eta_out,sI,sF,r,Tc,Tl,Tr,G,rB,Gap,popI,popF,Y,Btarget
NaN,3.15,5.3,0.0271960067749023,0.0558951998209449,0.0669684145273322,0.0274004232059804,0.07,0.0254631911422966,0,0.553543903151119,0.446456096848881,0.62912558488875,0.936284188816837
NaN,3.26944444444444,5.3,0.0271958160400391,0.0564260671500908,0.0678550665794831,0.0271078280287706,0.07,0.0271733057008033,0,0.547632889470113,0.452367110529888,0.633085964055025,0.99917228667812
NaN,3.38888888888889,5.3,0.0271958160400391,0.0569608394764546,0.0687437386712379,0.0268145662384915,0.07,0.028890011909201,0,0.541708408858414,0.458291591141586,0.637055366064862,1.06229619536577
NaN,3.50833333333333,5.3,0.0271958160400391,0.0574968724458911,0.0696341833328881,0.0265207195001469,0.07,0.0306103362786322,0,0.53577211111408,0.46422788888592,0.641032685553567,1.12555314514432
NaN,3.62777777777778,5.3,0.0271958160400391,0.058031727032954,0.0705261510933138,0.0262263701392065,0.07,0.0323315079870612,0,0.529825659377909,0.470174340622092,0.645016808216802,1.18884125188452
NaN,3.74722222222222,5.3,0.0271958160400391,0.0585632353682942,0.0714193907568674,0.0259316010502338,0.07,0.0340510250749278,0,0.523870728287551,0.476129271712449,0.649006612047341,1.25206851762772
NaN,3.86666666666667,5.3,0.0271958160400391,0.0590895578238739,0.0723136496843969,0.025636495604149,0.07,0.0357667119041217,0,0.517909002104021,0.482090997895979,0.653000968590306,1.31515494337306
NaN,3.98611111111111,5.3,0.0271958160400391,0.0596092001485586,0.0732086740777393,0.025341137554346,0.07,0.037476736671952,0,0.511942172815071,0.488057827184929,0.656998744213902,1.37803317307253
NaN,4.10555555555556,5.3,0.0271958160400391,0.0601210011716435,0.0741042092670089,0.0250456109418871,0.07,0.0391795994967652,0,0.505971938219941,0.494028061780059,0.66099880139264,1.44064805553483
NaN,4.225,5.3,0.0271958160400391,0.0606241019162098,0.0750000000000001,0.02475,0.07,0.0408741019162099,0,0.499999999999999,0.500000000000001,0.665000000000001,1.50295552286547
NaN,4.34444444444444,5.3,0.0271958160400391,0.0611179051719235,0.0758957907329908,0.024454389058113,0.07,0.0425593068468013,0,0.494028061780061,0.505971938219939,0.669001198607359,1.5649211181655
NaN,4.46388888888889,5.3,0.0271958160400391,0.0616020321404063,0.076791325922261,0.0241588624456539,0.07,0.0442344956170134,0,0.488057827184927,0.511942172815073,0.673001255786099,1.6265184156228
NaN,4.58333333333333,5.3,0.0271958160400391,0.0620762804668276,0.0776863503156029,0.023863504395851,0.07,0.0458991263865795,0,0.48209099789598,0.51790900210402,0.676999031409693,1.6877274915746
NaN,4.70277777777778,5.3,0.0271958160400391,0.0625405861299625,0.0785806092431325,0.0235683989497663,0.07,0.0475527964233287,0,0.47612927171245,0.52387072828755,0.680993387952658,1.74853353741322
NaN,4.82222222222222,5.3,0.0271958160400391,0.0629949903387193,0.0794738489066863,0.0232736298607935,0.07,0.0491952093846121,0,0.470174340622091,0.529825659377909,0.684983191783199,1.80892565651218
NaN,4.94166666666667,5.3,0.0271958160400391,0.0634396117130158,0.080365816667112,0.022979280499853,0.07,0.0508261478802749,0,0.46422788888592,0.53577211111408,0.688967314446434,1.8688958553568
NaN,5.06111111111111,5.3,0.0271958160400391,0.0638746235067312,0.0812562613287618,0.0226854337615086,0.07,0.0524454510739843,0,0.458291591141588,0.541708408858412,0.692944633935136,1.9284382199369
NaN,5.18055555555556,5.3,0.0271958160400391,0.06430023535746,0.082144933420517,0.0223921719712294,0.07,0.0540529968067477,0,0.452367110529886,0.547632889470113,0.696914035944976,1.98754825842211
NaN,5.3,5.3,0.0271958160400391,0.0647166789367868,0.0830315854726678,0.0220995767940196,0.07,0.0556486876154349,0,0.446456096848882,0.553543903151118,0.700874415111249,2.04622238705785
