sI,r
3.15,0.0271960067749023
3.26944444444444,0.0271958160400391
3.38888888888889,0.0271958160400391
3.50833333333333,0.0271958160400391
3.62777777777778,0.0271958160400391
3.74722222222222,0.0271958160400391
3.86666666666667,0.0271958160400391
3.98611111111111,0.0271958160400391
4.10555555555556,0.0271958160400391
4.225,0.0271958160400391
4.34444444444444,0.0271958160400391
4.46388888888889,0.0271958160400391
4.58333333333333,0.0271958160400391
4.70277777777778,0.0271958160400391
4.82222222222222,0.0271958160400391
4.94166666666667,0.0271958160400391
5.06111111111111,0.0271958160400391
5.18055555555556,0.0271958160400391
5.3,0.0271958160400391
