r,A_I,A_F,A_priv,B_public,Y,Excess_S
0.0332129001617432,-0.0154208857306913,0.218102907939144,0.202682022208453,1.16762540787294,0.56182,-0.964943385664488
0.0351772266275743,0.00828536996992738,0.233379950875868,0.241665320845796,1.16762540787294,0.56182,-0.925960087027145
0.0371415530934053,0.0335642080379351,0.249477310419314,0.283041518457249,1.16762540787294,0.56182,-0.884583889415692
0.0391058795592364,0.0604577808291314,0.266391629706238,0.326849410535369,1.16762540787294,0.56182,-0.840775997337572
0.0410702060250675,0.0889978597374399,0.28411210903233,0.37310996876977,1.16762540787294,0.56182,-0.794515439103171
0.0430345324908986,0.119206304763526,0.302621780568247,0.421828085331774,1.16762540787294,0.56182,-0.745797322541167
0.0449988589567297,0.15109493362359,0.321898206196581,0.472993139820171,1.16762540787294,0.56182,-0.69463226805277
0.0469631854225608,0.184664593122914,0.341913531114772,0.526578124237686,1.16762540787294,0.56182,-0.641047283635255
0.0489275118883918,0.219903875939776,0.36263412882515,0.582538004764926,1.16762540787294,0.56182,-0.585087403108015
0.0508918383542229,0.256786996233794,0.384019697573108,0.640806693806902,1.16762540787294,0.56182,-0.526818714066039
0.052856164820054,0.295271511456177,0.406022116278486,0.701293627734662,1.16762540787294,0.56182,-0.466331780138278
0.0548204912858851,0.335295977425755,0.428584143794403,0.763880121220158,1.16762540787294,0.56182,-0.403745286652783
0.0567848177517162,0.376779117987714,0.451638673880844,0.828417791868558,1.16762540787294,0.56182,-0.339207616004383
0.0587491442175473,0.419621404161367,0.475108970376972,0.894730374538338,1.16762540787294,0.56182,-0.272895033334603
0.0607134706833783,0.463713132573782,0.498911691056194,0.962624823629976,1.16762540787294,0.561819999999999,-0.205000584242965
0.0626777971492094,0.508952613563711,0.522964368034429,1.03191698159814,1.16762540787294,0.56182,-0.135708426274801
0.0646421236150405,0.555277649981005,0.547198836793295,1.1024764867743,1.16762540787294,0.56182,-0.0651489210986407
0.0666064500808716,0.602705604689002,0.571578690534708,1.17428429522371,1.16762540787294,0.56182,0.00665888735076869
0.0685707765467027,0.65135858734989,0.596110685512982,1.24746927286287,1.16762540787294,0.56182,0.0798438649899309
0.0705351030125338,0.701426849485765,0.620829502531535,1.3222563520173,1.16762540787294,0.56182,0.154630944144359
0.0724994294783648,0.753054548438998,0.645749072887143,1.39880362132614,1.16762540787294,0.56182,0.2311782134532
0.0744637559441959,0.806274420124292,0.670835406654264,1.47710982677856,1.16762540787294,0.56182,0.309484418905615
0.076428082410027,0.8610070215725,0.696007952182274,1.55701497375477,1.16762540787294,0.56182,0.389389565881832
0.0783924088758581,0.91781121155825,0.72147300004666,1.63928421160491,1.16762540787294,0.56182,0.471658803731969
0.0803567353416892,0.976523659604748,0.747123577213306,1.72364723681805,1.16762540787294,0.56182,0.556021828945113
0.0823210618075203,1.03680688361739,0.772785063075384,1.80959194669278,1.16762540787294,0.56182,0.641966538819837
0.0842853882733513,1.09814473393114,0.798216834159314,1.89636156809046,1.16762540787294,0.56182,0.728736160217516
0.0862497147391824,1.15985672338926,0.82312239587446,1.98297911926372,1.16762540787294,0.56182,0.815353711390782
0.0882140412050135,1.22114830120899,0.847174928109785,2.06832322931877,1.16762540787294,0.56182,0.90069782144583
0.0901783676708446,1.2811966723714,0.870056415973263,2.15125308834466,1.16762540787294,0.56182,0.983627680471722
0.0921426941366757,1.3391397107592,0.891453766338623,2.23059347709783,1.16762540787294,0.561820000000001,1.06296806922489
0.0941070206025068,1.3941658241022,0.911083006077759,2.30524883017996,1.16762540787294,0.56182,1.13762342230702
0.0960713470683378,1.44565789181846,0.928770065399012,2.37442795721748,1.16762540787294,0.56182,1.20680254934454
0.0980356735341689,1.49316294070146,0.944402643379716,2.43756558408117,1.16762540787294,0.56182,1.26994017620823
0.1,1.53651711590978,0.958004695799747,2.49452181170952,1.16762540787294,0.561820000000001,1.32689640383658
